Country;cod;First case date;Let1;Let2;Let3;Let4;Let5;Let6;Let7;Let8;Let9;Days;p60years;Sex;Literacy;Doctors;Beds;GDP;Health;Obesity;Passengers;Test;Quarantine;HIV/AIDS;Respiratory.infectious;Diabetes;Cardiovascular;Respiratory.diseases;Tobacco;Poverty;Urbanpop;Density;Nurse;Height
Moldova;MDA;8/03/2020;0,063829787;0,039182283;0,036603221;0,039956803;0,037920976;0,041331546;0,042175361;0,04181291;0,041130423;92;0,35689825;0,47964437;99,4;3,2002;5,8;11,44367144;0,0438;;1135999;15,697;45;10,08750508;49,55220184;26,99500403;527,4456277;30,56925313;25,3;0,1;42,629;119,1858;4,5113;430
Monaco;MCO;31/12/2019;0,018181818;0,037037037;0,032258065;0,042553191;0,042105263;0,042105263;0,041666667;0,041237113;0,040816327;160;;;;6,562;;;0,0139;;316;413,002;113;35,02051761;346,8828242;404,6023182;1394,181116;225,7506609;;;100;19426,7327;20,2625;161
Mongolia;MNG;10/03/2020;0;0;0;0;0;0;0;0;0;90;0,13488155;0,49330471;98,42312;2,8866;7;5,504166667;0,0216;0,314;670360;4,997;43;0,587474277;26,51989486;7,436848899;207,354317;15,81620929;26;0,6;68,445;2,0959;3,9846;4374
Montenegro;MNE;18/03/2020;0,016260163;0,016129032;0,017361111;0,022222222;0,02484472;0,027777778;0,027777778;0,027777778;0,027777778;82;0,42761526;0,49440987;98,84718;2,3337;4;13,06674914;0,0573;0,428;565522;20,995;;0,411947776;1,704824415;5,841874183;66,46228862;4,681502177;46;0;66,813;45,4725;5,7179;2534
Montserrat;MSR;5/01/2020;;;;;;;;;;155;;;;;;;;;;12,22;108;44,36552349;227,276732;21,26274012;143,2973239;30,50145786;;;;48,9412;;
Morocco;MAR;3/03/2020;0,142201835;0,099607843;0,073616601;0,048752176;0,042351308;0,034763314;0,029791155;0,02831908;0,027101697;97;0,22047378;0,49596153;;0,727;;;;;8132917;9,1;50;35,02051761;346,8828242;404,6023182;1394,181116;225,7506609;24;1;62,453;82,6572;1,0979;4165
Mozambique;MOZ;23/03/2020;0;0;0;0;0;0;0;0,006410256;0,008810573;77;0,08800124;0,48524811;61;0,074;0,7;14,71722321;0,027;0,09;540124;487;30;3695,100209;1286,459096;119,9683873;672,8447847;181,899457;17,1;62,4;35,988;38,9918;0,4436;2436
Namibia;NAM;15/03/2020;0;0;0;0;0;0;0;0;0;85;0,11067937;0,4844631;91,52727;0,374;2,7;14,52171163;0,0565;0,332;602893;1,948;38;257,6877916;86,35561127;27,62132258;80,95917894;28,67088715;22;13,4;50,032;3,0776;2,775;2606
Nepal;NPL;31/12/2019;0;0;0;0;0;0;0,008;0,009367681;0,010158014;160;0,17029827;0,45464657;67,90843;0,651;0,3;29,04039898;0,0117;0,058;3296953;9,363;79;86,67879843;482,4263296;225,1177794;1362,950108;576,7939702;23,7;15;19,74;197,9658;2,6854;8848
Nicaragua;NIC;19/03/2020;0,2;0,166666667;0,222222222;0,3;0,384615385;0,5;0,68;0,137795276;0,060606061;81;0,16252553;0,49287294;83;1,006;0,9;13,11784542;0,0537;0,308;61031;0;34;16,96829943;68,38625323;67,62487247;173,1497203;37,25833411;;3,2;58,522;50,8123;1,5775;2107
Nigeria;NER;21/03/2020;0,034482759;0,043478261;0,068796069;0,058419244;0,059606481;0,052146264;0,040233353;0,038041036;0,036070079;79;0,08994358;0,50663886;62,01601;0,05;0,5;397,2696161;0,0047;0,196;14713;380;;195,8600421;1975,386448;100,1870124;724,3720417;178,6922474;7,8;44,5;16,425;223,1508;0,3109;2419
Norway;NOR;31/12/2019;0,020769073;0,02464673;0,027744807;0,028209321;0,028015564;0,02863932;0,028623853;0,028378215;0,028210927;160;0,45352532;0,50475369;99;4,4948;3,9;434,1666154;0,087;0,496;12277222;48,395;65;0,900997074;28,62177225;32,96192188;195,3030357;70,6872829;20,2;0,2;82,248;16,7425;18,1247;2469
New Caledonia;NCL;21/03/2020;;;;;;;;;;79;0,26737758;0,50338946;98;1,982;;;;;;25,434;32;257,6877916;86,35561127;27,62132258;80,95917894;28,67088715;;;70,683;15,37;0;
New Zealand;NZL;31/12/2019;0,001412429;0,007438017;0,01010101;0,013094418;0,014227642;0,014103425;0,014028056;0,014637392;0,01462766;160;0,42535841;0,49162231;99;3,0252;2,8;204,9239179;0,074;0,612;17249049,95;59,155;79;0,825176556;17,16686662;28,787875;169,576165;61,75594894;16;;86,538;17,8293;10,955;3754
Oman;OMN;31/12/2019;0,00952381;0,009546539;0,008791209;0,006195787;0,005716799;0,005856011;0,007464543;0,006453748;0,008001911;160;0,08830061;0,65985916;96;1,97;;;0,0383;0,562;10438241;22,377;113;3,836643648;23,20026346;54,06321223;129,0955465;17,97037519;8,1;;84,539;16,4996;4,3004;2980
